headline,summary,youtube-link
headline,summary,youtube-link
Python Django Tutorials – Full Series,"In this Python Django Tutorial, we will be learning how to get started using the Django framework. We will install the necessary packages and get a basic application running in our browser.",https://youtube.com/watch?v=UmljXZIypDc
Best Sublime Text Features and Shortcuts,"In this video, we will be learning about my favorite Sublime Text features and shortcuts for Windows. Knowing your way around your text editor will help you get things done much faster and be more productive. The features in this video have saved me a ton of time over the years. I have two different versions of this video depending on your operating system…",https://youtube.com/watch?v=9FPFogHkgOc
Python Tutorial: How to Set the Path and Switch Between Different Versions/Executables,"In this Python Programming Tutorial, we will be learning how to set the PATH environment variable. We will also learn how to modify the PATH in order to switch between different Python versions and executables. This is an essential skill that trips up many people when they first start learning Python and will definitely help you in many real-world situations. I have two different versions of this video depending on your operating system…",https://youtube.com/watch?v=OdIHeg4jj2c
Python Quick Tip: F-Strings – How to Use Them and Advanced String Formatting,"In this Python Programming Tutorial, we will be learning how to use f-strings to format strings. F-strings are new to Python3.6+ and are extremely useful once you learn how to use them. Viewers have likely seen me use f-strings in previous videos so this video will go into detail exactly how to use them so that everyone can follow along confidently. Let’s get started…",https://youtube.com/watch?v=nghuHvKLhJA
"Big Announcements, Video Updates, and Future Plans","For those of you who don’t know, I recently quit my previous job and will now be doing tutorials on YouTube full-time. In this video, we discuss what to expect now that this is a full-time job, and also some details about how all this will work. Thanks again to all of you who made it possible to do what I love full-time.",https://youtube.com/watch?v=OPUP4ghN9oo
Python Tutorial: Sets – Set Methods and Operations to Solve Common Problems,"In this Python Programming Tutorial, we will be looking at the Set data structure in-depth and discovering how it can help us solve some common problems. The set can not only solve certain problems more quickly but is also more efficient in many cases.",https://youtube.com/watch?v=r3R3h5ly_8g
Python Flask Tutorials – Full Series,"In this Python Flask Tutorial, we will be learning how to get started using the Flask framework. We will install the necessary packages and get a basic Hello World Application running in our browser.",https://youtube.com/watch?v=MwZwr5Tvyxo
Linux/Mac Terminal Tutorial: The Grep Command – Search Files and Directories for Patterns of Text,"In this Linux/Mac terminal tutorial, we will be learning how to use the grep command. The grep command allows us to search files and directories for patterns of text. You can also pipe the output of one command into grep to get certain matches. It’s extremely useful once you learn the ins and outs. Let’s get started…",https://youtube.com/watch?v=VGgTmxXp7xQ
How to Run Linux/Bash on Windows 10 Using the Built-In Windows Subsystem for Linux,"In this video, we will be learning how to run Linux on Windows using the new Windows Subsystem for Linux that comes with Windows 10. This is an excellent way to run Bash on a Windows machine. It allows you to use all of the Bash commands we are used to using on Linux within a Windows system. We will be showing how to enable and install Linux on Windows and also go over a quick overview to see how this works. Let’s get started…",https://youtube.com/watch?v=xzgwDbe7foQ
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Windows),"In this Python Programming Tutorial, we will be learning how to hide passwords and secret information within environment variables on Windows machines. Hard-coding secret information is a common mistake that beginners make when learning Python. Hiding this information within environment variables allows you to access your secret information within your code without anyone else being able to see these values from your source code. Let’s get started…",https://youtube.com/watch?v=IolxqkL7cD8
